question	answers
もともとあるスポーツをする人が着用したことから名が付いた、襟付きの半そでシャツは何でしょう?	ポロシャツ
『必殺仕事人』の主人公・中村主水の名前の由来にもなっている、イアン・フレミングが生み出した、『007』の主人公であるスパイは誰でしょう?	ジェームズ・ボンド
千葉県銚子市の米菓店「柏屋」が1960年代に考案し、当時は商品ではなくおまけとして配っていた、焼いた直後に醤油につけて作るしっとりとした煎餅といえば何でしょう?	ぬれせんべい
別名を「文化包丁」という、これ一本で野菜、肉、魚を処理できることから名づけられた包丁の一種を何というでしょう?	三徳包丁
童謡の中では「晴れたら金の鈴をつけてあげる」と歌われている、おまじないの一種として、雨が降らないように軒下などに吊るされるものといえば何でしょう?	てるてる坊主
イタリア語で「引きちぎる」という意味がある、熱に溶けやすいことからピザによく用いられるイタリアのチーズは何でしょう?	モッツァレッラ
あの人を憎むあまり、その人に関するもの全てが憎くなってしまうことを例えて、「坊主憎けりゃ何まで憎い」というでしょう?	袈裟
浦島太郎に扮して歌った楽曲『海の声』がヒットし、紅白歌合戦にも出場した俳優は誰でしょう?	桐谷健太
元々は『シンプル・シアター』という新聞漫画の登場人物だった、ほうれん草を食べてパワーアップするアメリカのヒーローといえば誰でしょう?	ポパイ
調理や盛り付けの際に使われる、普通の箸よりも長い箸を何というでしょう?	菜箸
自動車で水のたまった道路を高速で走った際、タイヤが水に浮いたようにブレーキが効かなくなる現象を何というでしょう?	ハイドロプレーニング現象
天智天皇の死後、その後継をめぐって大海人皇子と大友皇子によって争われた内乱を何というでしょう?	壬申の乱
リー・シャオロンの名でも知られる俳優で、『死亡遊戯』や『燃えよドラゴン』などのアクション映画への出演で知られるのは誰でしょう?	ブルース・リー
他人に気に入られような振る舞いをすることを、ある食べ物を用いて「何を擂る」というでしょう?	ゴマ
お寿司で、鉄火巻きといえば中身はまぐろですが、鉄砲巻きといえば中身は何でしょう?	かんぴょう
ある果物を爆弾に見立てて、書店を爆破しようと想像する男を主人公とする、梶井基次郎の小説は何でしょう?	檸檬
1949年にそれまでのBAAから改称された、北米で開催されているプロバスケットボールリーグをアルファベット3文字の略称で何というでしょう?	NBA
コンピュータに周辺機器を接続するための規格のひとつ「USB」とは、何という言葉の略でしょう?	ユニバーサル・シリアル・バス
鳩胸、海老尾、棹などから成る本体に3本の弦が張られた、日本の楽器は何でしょう?	三味線
昭和58年に『BETA!!』でデビューした漫画家で、代表作に『20世紀少年』『PLUTO』『YAWARA!』などがあるのは誰でしょう?	浦沢直樹
2016年に亡くなったモーリス・ホワイトがリーダーを務めていた、『セプテンバー』『宇宙のファンタジー』などのヒット曲で知られるアメリカのバンドは何でしょう?	アース・ウィンド・アンド・ファイアー
アメリカのマイアミビーチにちなんで名付けられた、東京ディズニーリゾートの付近にある駅は何でしょう?	舞浜駅
映画『お熱いのがお好き』ではマリリン・モンローも演奏した、現地のことばで「跳ねるノミ」という意味のある楽器は何でしょう?	ウクレレ
「祇園精舎の鐘の声 諸行無常の響きあり」という書き出しで始まる、鎌倉時代に成立し、琵琶法師によって語られた軍記物語は何でしょう?	平家物語
演劇や演奏会などが終わったときに、観客が立ち上がって拍手喝采を浴びせることを英語で何というでしょう?	スタンディングオベーション
勝負審判と控え力士だけが行うことができる、大相撲で行司が下した軍配に対して異議を唱えることを何というでしょう?	物言い
頭にオレンジ色の飾り羽根を持つ、とあるパスタの種類と同じ名前がついたペンギンは何でしょう?	マカロニペンギン
1867年にアメリカがロシアから買収した、カナダの西側に位置する州はどこでしょう?	アラスカ州
日本プロ野球の通算安打数、通算本塁打数、通算打点の全てで歴代2位の記録を持っている、「ノムさん」の通称で知られる人物は誰でしょう?	野村克也
2016年には4度目の挑戦でエベレスト登頂に成功した、テレビ番組『進ぬ!電波少年』で行った「懸賞生活」で有名になったタレントは誰でしょう?	なすび
フランスのシャンパーニュ州で作られたことからその名のついた、発泡性のワインは何でしょう?	シャンパン
その名は当時発見されたばかりだった冥王星の英語名から取られた、ミッキーマウスが飼っている愛犬の名前は何でしょう?	プルート
1972年に全日本プロレスを旗揚げし初代社長となった、「16文キック」で一世を風靡したプロレスラーは誰でしょう?	ジャイアント馬場
「一定温度において、気体の体積は圧力に反比例する」という法則を、誰の法則というでしょう?	ボイルの法則
本業は弁護士であった17世紀フランスの数学者で、「私は真に驚くべき証明を見つけたが、この余白はそれを書くには狭すぎる」という言葉で有名な「最終定理」で知られるのは誰でしょう?	ピエール・ド・フェルマー
自動車の座席は「シート」ですが、自転車の座る部分のことを何というでしょう?	サドル
一時期「手裏剣トリオ」と改名し活動していた時期もあった、現在タレントとして活躍中の有吉弘行がかつて結成していたお笑いコンビは何でしょう?	猿岩石
2015年のリオパラリンピックでは日本選手団の旗手を務め、銅メダルも獲得している、女子車いすテニス選手は誰でしょう?	上地結衣
腎不全に陥った患者が尿毒症になるのを防止するために、血液の老廃物除去などを行う医療行為を何というでしょう?	人工透析
昔の僧侶が、空腹を紛らわすために懐に石を入れたことを由来とし、現在では和食におけるコース料理も意味する言葉は何でしょう?	懐石
大学時代から18年間コンビニのアルバイトを続ける女性を主人公とした、芥川賞を受賞した村田沙耶香の著書は何でしょう?	コンビニ人間
2011年に皐月賞・日本ダービー・菊花賞を制し、中央競馬クラシック三冠馬となった競走馬は何でしょう?	オルフェーヴル
本州に次ぐ世界第8位の面積を持つ、イギリスの大部分を占める島はどこでしょう?	グレートブリテン島
フランスとスイスの国境にまたがる山脈で、始祖鳥が現れ、恐竜が栄えた地質時代にも名を残すのは何山脈でしょう?	ジュラ山脈
経営学において、取引を行う双方が利益を得られるような状況のことを、「勝つ」という意味の英単語を2回用いて何というでしょう?	Win-Win
岐阜県の郡上市が生産量日本一を誇る、飲食店の店先でよく見かける、食べ物そっくりの模型を何というでしょう?	食品サンプル
肉料理で「ロッシーニ」「シャリアピン」「サーロイン」などの名前が付く料理は何でしょう?	ステーキ
別々に収録された映像と音声を一致させるために、映画の撮影のスタート時にカメラの前で打たれる物は何でしょう?	カチンコ
摩擦により温度が60°C以上になると、文字が消える特殊なインクが使われている、パイロットが開発した筆記具は何でしょう?	フリクション
煮崩れを防ぐ為に、大根やジャガイモなどの切り口の角を削ることを何というでしょう?	面取り
地図サービス「Googleマップ」で、指定した場所の周囲の風景を見渡すことができる機能を何というでしょう?	Google ストリートビュー
カワラ、オンブ、ショウリョウ、トノサマなどの種類がいる昆虫は何でしょう?	バッタ
かつては航空自衛隊で戦闘機F-15のパイロットをしていた、2015年に地球外での任務を行った日本の宇宙飛行士は誰でしょう?	油井亀美也
パルテノン神殿の彫刻や、ロゼッタストーンなどが展示されている、ロンドンにある、イギリスを代表する博物館といえば何でしょう?	大英博物館
5世紀頃に履中天皇が妃を迎える際におこなったのがその始まりとされる、結婚に先立って新郎の家から新婦の家に贈り物をする風習を何というでしょう?	結納
図書カードNEXTやテレホンカードが代表的な、前払い式の金券のことを何というでしょう?	プリペイドカード
井原西鶴の『好色一代男』に代表される、主に民衆生活を扱った、江戸時代の主要な文芸形式を何というでしょう?	浮世草子
グリフィン、トール、コニカルなどの種類がある、理科の実験で使われる円筒形の容器は何でしょう?	ビーカー
「蹴飛ばし」とも「さくら」とも呼ばれるのは、どんな動物の肉でしょう?	ウマ
『EZ DO DANCE』や『BOY MEETS GIRL』といったヒット曲で90年代に人気を博した音楽グループは何でしょう?	TRF
兄・ウィルバー、弟・オーヴィルの兄弟で、世界初の飛行機パイロットとして知られるのは「何兄弟」でしょう?	ライト兄弟
和風庭園にある、竹筒にたまる水の重みを利用して石などを打って音を出す仕掛けのことを何というでしょう?	ししおどし
1774年にアントワーヌ・ラヴォアジエが提唱した、「化学反応の前と後で物質の総質量は変化しない」とする化学の法則を「何の法則」というでしょう?	質量保存の法則
徳川吉宗が設置した、一般庶民の意見を聞くための投書箱のことを何と言うでしょう?	目安箱
スペイン語では「カルナヴァル」、英語では「カーニバル」というお祭りを、日本語では漢字三文字で何というでしょう?	謝肉祭
別府や盛岡のものはご当地グルメとして人気がある、焼肉屋さんのメニューとしておなじみの冷たい麺料理は何でしょう?	冷麺
激しく発達した積乱雲から降ってくる、直径が5mm以上の氷の粒のことを気象用語で何というでしょう?	雹
イタリア語で「私をいい気分にさせて」という意味がある、マスカルポーネチーズを使ったイタリアのケーキは何でしょう?	ティラミス
初代会長をジョン・ゴールズワージーが務めた、ロンドンに本部を置く文学者のための国際団体は何でしょう?	国際ペンクラブ
平昌五輪からは男女混合ダブルスが採用されている、氷の上でストーンを滑らせて目標に近づける競技は何でしょう?	カーリング
研究したカルメットとゲランの名前に由来する、結核の予防ワクチンのことをアルファベット3文字で何というでしょう?	BCG
美空ひばりの名曲『川の流れのように』を作詞した、AKB48グループのプロデューサーとしても知られる人物は誰でしょう?	秋元康
空港の中にも多く設置されている、商品を買う際に関税や消費税などの税金がかからない店のことを何というでしょう?	免税店
ハイヒールを履く女性などにみられる、足の親指が外側に曲がってしまう病気を何というでしょう?	外反母趾
マジック:ザ・ギャザリングや遊戯王OCGなどのカードゲームで、使用済みとなったカードを置く場所のことを何というでしょう?	墓地
正月に年神様などに供えた鏡餅を、雑煮や汁粉にして食べ、一家の円満を願う行事を何というでしょう?	鏡開き
ある女性の奇形嚢腫から取り出された手足や内臓をつなぎ合わせることで誕生した、漫画『ブラック・ジャック』でブラック・ジャックの助手をつとめる女の子は誰でしょう?	ピノコ
1960年代にジャマイカで誕生し、ボブ・マーリーらによって世界的に広まった音楽の一ジャンルは何でしょう?	レゲエ
元々は、映画のフィルムにおける音声を収録した部分のことを意味した言葉で、現在では、映画などで使われた曲を集めたアルバムも意味するのは何でしょう?	サウンドトラック
漢字で「麦のお茶」と書いたら「むぎちゃ」と読みますが、「麦のお酒」と書くものは何を意味するでしょう?	ビール
日本にある活火山の中で、一番標高が高い山は何でしょう?	富士山
エレキギターに対して、楽器そのものを共鳴体にして音を発するギターのことを、総称して何というでしょう?	アコースティック・ギター
北海道生まれを意味する「道産子」をひっくり返して命名された、Jリーグで唯一北海道に本拠地をおくクラブチームは何でしょう?	北海道コンサドーレ札幌
株価の始値と終値を表す四角形と高値と安値を表す線を組み合わせて並べたグラフのことを、その形から何というでしょう?	ローソク足チャート
英語では「window dressing」という、企業会計において利益の数値を不正に操作して決算の数字をゆがめることを何というでしょう?	粉飾決算
ギリシャ神話でオルフェウスが演奏した楽器がモチーフとなっている、一等星のベガも有名な星座は何でしょう?	こと座
元々は遠い将来のことまでよく考えることで、現在では態度を控え目にするという意味で使われる漢字二文字の言葉は何でしょう?	遠慮
「あとうかい」を「かとうあい」とするように、言葉の文字を入れ替えて別の言葉を作る遊びのことを何というでしょう?	アナグラム
東京都台東区にあるお寺・浅草寺の旧正門のことを俗に何門というでしょう?	雷門
12月25日はこれを記念した日となっている、特殊な靴を履いて氷の上で行うスポーツは何でしょう?	スケート
乾燥させたイナゴ豆1粒の重さを由来とし、現在では0.2グラムを1とする、宝石の重さを示す単位は何でしょう?	カラット
侍に扮した高橋英樹が早押しボタンを押して社名を答えるCMで有名な、新潟県長岡市に本社を置く食品会社といえば、正解は?	越後製菓
見た目が鳥かごに似ているため、フランス語で「かご」という意味がある、ワンピースのスカート部分を膨らませるために用いるものは何でしょう?	パニエ
ボウリングで、ストライクとスペアを交互に出していくことを、「オランダ人」という意味の言葉で何というでしょう?	ダッチマン
モスクワのクレムリン宮殿の北東側の前にある広場のことを、ある色を用いて「何の広場」というでしょう?	赤の広場
一ノ谷の戦いで熊谷直実に討ち取られた平家の武将で、笛の名手として知られたのは誰でしょう?	平敦盛
料理研究家の尚道子によって考案された、ウインナーを箸でつかみやすくするために、ある海の生き物に似せた飾り切りをしたものを何というでしょう?	たこさんウィンナー
ゴルフのクラブの別名で、1番ウッドはドライバー、2番ウッドはブラッシーですが、3番ウッドは何でしょう?	スプーン
別名をサトウダイコンという、その根が砂糖の原料となるヒユ科の植物は何でしょう?	テンサイ
酸化力が非常に強いため金や白金も溶かすことができる、濃塩酸と濃硝酸を3:1で混合した液体を何というでしょう?	王水
別名を「華燭の典」ともいう儀式は何でしょう?	結婚式
これまでに『スラムダンク孫子』や『パープル式部』が受賞した、新刊JPが主催するユニークな文学賞は「日本・何・大賞」でしょう?	日本タイトルだけ大賞
演歌歌手「氷川きよし」の名付け親でもあるとされている、「コマネチ!」のギャグでも知られるお笑い芸人は誰でしょう?	ビートたけし
かつては神様がマネをして応えているものと信じられていた、山に向かって大声を出すと音波が反射して聞こえる現象を何というでしょう?	山彦
ベルリンを首都とする国はドイツですが、ダブリンを首都とする国はどこでしょう?	アイルランド
ヘブライ語の「メギドの丘」という意味の言葉に由来した名を持つ、『ヨハネの黙示録』に描かれている世界の終末に善と悪との最終決戦が行われる場所を何というでしょう?	ハルマゲドン
英語では「infrared」という、ハーシェルによって発見された電磁波の一種は何でしょう?	赤外線
そのポジションはピヴォ、アラ、フィクソ、ゴレイロとポルトガル語の名前で呼ばれる、1チーム5人で戦うサッカーに似た競技は何でしょう?	フットサル
2014年には自身初の語録集『ぼちぼちしてらんねえ』を発表している、『乾杯』『とんぼ』などのヒット曲で知られる歌手は誰でしょう?	長渕剛
19世紀に多くのラテンアメリカの国々をスペインの植民地支配から独立させ、南米の国・ボリビアの名前の由来となった指導者は誰でしょう?	シモン・ボリバル
「人は城、人は石垣、人は堀、情けは味方、仇は敵なり」という言葉を残した、上杉謙信との5度にわたる川中島の戦いで名高い戦国大名は誰でしょう?	武田信玄
国家公務員の給与に関する勧告などを行う、日本の行政機関は何でしょう?	人事院
格闘技用語の「K.O.」とは、何という言葉の頭文字をとったものでしょう?	ノックアウト
1994年からの11年間、『週刊こどもニュース』のお父さん役を務めたことでも知られる、「いい質問ですね」のセリフでおなじみのジャーナリストは誰でしょう?	池上彰
天ぷらの中でも、特に、細かい材料を何種類か取り合わせて衣でまとめて揚げたものを何というでしょう?	かき揚げ
カラートーチや花火の着色に応用されている、金属塩を炎の中に入れたときに各金属元素特有の色を示す反応を何というでしょう?	炎色反応
バンド名は「弱者の反撃」という意味で名づけられた、『天体観測』や『オンリー ロンリー グローリー』などの代表曲がある音楽グループは何でしょう?	BUMP OF CHICKEN
「馬耳東風」という言葉を初めて用いた人物でもある、天才的な詩の才能から「詩仙」と称される唐の詩人は誰でしょう?	李白
アルファベット4文字でUSSRと略された、1991年までユーラシア大陸の北部に存在した大国はどこでしょう?	ソビエト連邦
フランスの幼児語で「お尻」を意味する言葉に由来した名を持つ、クラシックバレエでバレリーナが身に付ける白いひだ状のスカートを何というでしょう?	チュチュ
ピアノ三重奏に使われる楽器といえば、ピアノ、バイオリンと何でしょう?	チェロ
かつては「黄色いダイヤ」とも呼ばれた、寿司ネタとしても使われるニシンの卵を何というでしょう?	数の子
野口雨情作詞の『兎のダンス』、北原白秋作詞の『あわて床屋』、三木露風作詞の『赤とんぼ』などを作曲した日本の作曲家は誰でしょう?	山田耕筰
たかしと斎藤司の2人からなる、自らの禿頭をいじったネタで知られるお笑いコンビは何でしょう?	トレンディエンジェル
浅瀬でもこげるように底を浅く平たくした川舟で、森鴎外の小説の題名にもあるのは何でしょう?	高瀬舟
安土桃山時代の由来となった城で、安土城があったのは現在の滋賀県ですが、桃山城があった都道府県はどこでしょう?	京都府
将棋で、対局開始時から王将が動いていないことを漢字2文字で何というでしょう?	居玉
特に水辺の場面では「波衣」と呼ばれる、観客から見えないという設定で舞台上にいる、歌舞伎の裏方は何でしょう?	黒衣
代表作に「自衛隊三部作」「三匹のおっさんシリーズ」「図書館戦争シリーズ」がある、人気作家は誰でしょう?	有川浩
久留米ラーメンで知られる久留米、博多ラーメンで知られる博多は、ともに何県にあるでしょう?	福岡県
福内鬼外の名で浄瑠璃作家としても活躍した江戸時代の人物で、エレキテルの発明で有名なのは誰でしょう?	平賀源内
食パンに卵・牛乳・砂糖を染み込ませて焼いた食べ物のことを何というでしょう?	フレンチトースト
李氏朝鮮の第4代国王・世宗によって作られた、朝鮮語を表記するために使われる文字は何でしょう?	ハングル
逆さになって足の間から見る「股のぞき」の景色で有名な、松島・宮島と並んで日本三景と呼ばれる京都府の観光地は何でしょう?	天橋立
本名をたまという女性で、父が明智光秀、夫が細川忠興であるのは誰でしょう?	細川ガラシャ
ミュージシャンのダンス☆マンやパパイヤ鈴木がしている、パーマをかけた髪を丸く膨らませたヘアスタイルを何というでしょう?	アフロヘアー
アニメ『ドラゴンボール』シリーズに登場する、悟空たちが食べて元気になる豆は何でしょう?	仙豆
その独特の形をした缶詰は「枕缶」と呼ばれる、牛肉を塩漬けにした、この食品といえば何でしょう?	コンビーフ
歌舞伎に現代に合う要素を取り入れて「スーパー歌舞伎」を考案した歌舞伎俳優は誰でしょう?	市川猿翁
相撲で、立ち会いに相手の目の前でパチンと手を叩いて驚かす技は何でしょう?	猫騙し
トランプゲーム「大富豪」で、同じ数字のカードを4枚出したときにカードの強さが全て逆になることを一般に何というでしょう?	革命
女優としても映画『君と100回目の恋』に主演した、『don’t cry anymore』 『ヒカリへ』などの曲で知られるシンガーソングライターは誰でしょう?	miwa
ガムの包装紙や折り紙に使われる「銀紙」には、普通どんな金属箔が用いられるでしょう?	アルミ箔
ヒトの場合は28個の骨からなる、顔の構造を支え、脳を外傷から保護する役割を持つ骨は何でしょう?	頭蓋骨
数学において、大文字で書けば数列の積を、小文字で書けば円周率を表わすギリシャ文字は何でしょう?	Π
透明度の高さでは日本一である湖で、よく霧がかかることから「霧の」と形容される北海道の湖といえば何でしょう?	摩周湖
アップルドームという額の形が特徴の、愛玩用として人気が高い、最も小さい犬の品種は何でしょう?	チワワ
周囲の気温に関係なく体温を一定に保つことのできる動物のことを、変温動物に対して何というでしょう?	恒温動物
1968年、大統領予備選挙を勝ち抜いた直後、カリフォルニア州ロサンゼルスで暗殺された、ジョン・F・ケネディの弟である政治家は誰でしょう?	ロバート・ケネディ
南海の孤島・インファント島に棲息する、東宝映画でおなじみの巨大な蛾の怪獣は何でしょう?	モスラ
葉がカラスのように黒く、龍のつめのように曲がっていることから名がついた中国茶の一種は何でしょう?	烏龍茶
「クリーンライス」とも呼ばれる、特殊な製法によりとがなくても炊けるようにしてある米を何と言うでしょう?	無洗米
日本の固有種にはコウシンソウ、フサタヌキモの2種が存在する、小動物や昆虫を捕えて栄養源とする植物を総称して何というでしょう?	食虫植物
西洋ではキリスト教の祝日である「諸聖人の祝日」の前夜祭の意味合いもある、かぼちゃをくりぬいて飾りを作ったり、仮装した子供たちが練り歩いてお菓子をねだったりするお祭りは何でしょう?	ハロウィン
1953年に浅利慶太らによって設立された、『キャッツ』『ライオン・キング』などの公演で有名な劇団は何でしょう?	劇団四季
18世紀に実用的な蒸気機関を作成したイギリスの発明家で、電力の単位にもその名を残すのは誰でしょう?	ジェームズ・ワット
冬が明けた2月頃から鳴き始めるため「春告鳥」という別名もある、よく梅と共に描かれ「ホーホケキョ」と鳴くことで知られるこの鳥は何でしょう?	ウグイス
長男の裕哉も歌手として活躍している、『卒業』や『I LOVE YOU』といった楽曲のヒットにより80年代にカリスマ的な人気を博したミュージシャンは誰でしょう?	尾崎豊
サミットの準備をする人もこう呼ばれる、ヒマラヤ登山隊などに案内人として協力するチベット系のネパール人を何というでしょう?	シェルパ
中央の筒に熱源を入れて湯を沸かす、ロシアの卓上湯沸し器を何というでしょう?	サモワール
その大きさによって銘仙判、八端判、緞子判などに分けられる、和室で座るときに用いる敷き物を何というでしょう?	座布団
「人は二度生まれる」「サラダは乙女の指でかきまわせ」などの名言を残したフランスの思想家は誰でしょう?	ジャン=ジャック・ルソー
メス、ナス、丸底、三角などの種類がある、科学実験で使用される口の小さな容器は何でしょう?	フラスコ
1952年には夏季オリンピックの開催地となっている、北欧の国・フィンランドの首都はどこでしょう?	ヘルシンキ
メキシコ料理のワカモーレにも使われる、豊富な脂肪分から「森のバター」の別名がある食べ物は何でしょう?	アボカド
すりつぶしたそら豆に唐辛子などを加え熟成させることで作られる、中華料理の調味料は何でしょう?	豆板醤
夏に涼むため、羽根を回転させて風を起こす電化製品を何というでしょう?	扇風機
岡山県の鬼城山や香川県の女木島がそのモデルといわれている、昔話『桃太郎』で桃太郎が鬼退治に向かった島はどこでしょう?	鬼ヶ島
Microsoft Officeのソフトで、主に発表用のスライドを作る時に使われるものは何でしょう?	Microsoft PowerPoint
東京・山手線の駅で、ひらがなで表記した時に濁音、半濁音、母音、拗音のいずれも入らない唯一の駅はどこでしょう?	田町駅
地井明子によってデザインされた、オスのゴールデン・レトリバーであるプリンを主人公とするサンリオのキャラクター群は何でしょう?	ポムポムプリン
ヨーロッパでは「ユピテル」や「ジュピター」と呼ばれる、太陽系第5惑星といったら何でしょう?	木星
アインシュタインはこれを理由に兵役を免除されている、土踏まずがなく足の裏が地面にべったりと付く足を何というでしょう?	扁平足
1970年代にジョン・レノンがたびたび滞在していたことでも有名な、長野県・佐久地方の避暑地として知られる地域は何でしょう?	軽井沢
もともと固くなったパンを食べるための工夫として考案されたとされる、パンの表面に卵白と砂糖を塗って焼いたお菓子は何でしょう?	ラスク
童謡『たなばたさま』の歌詞で、「さらさら」と歌われる植物は何の葉?	ササ
「マウスハープ」や「ブルースハープ」とも呼ばれる、息を吹き込んで音を出す鍵盤楽器は何?	ハーモニカ
前脚を揚げる姿から「拝み虫」とも表現される昆虫は何?	カマキリ
ゴルフで、1対1で各ホールの勝敗数を競う試合形式を何という?	マッチプレー
1970年に日本赤軍のメンバーが引き起こした、日本初のハイジャック事件は何?	よど号ハイジャック事件
フィギュアスケートなどのスポーツで、試合とは別に行われる、優れた技術や競技者の紹介を目的として行う公開演技のことを英語で何という?	エキシビション
映画『ピノキオ』で、コオロギのジミニー・クリケットが歌い、アカデミー歌曲賞を受賞した挿入歌は何?	星に願いを
サッカーで、コーナーキックやフリーキックのように、ルールで定められた位置からプレーを再開することを何という?	セットプレー
漫画『砂の城』や『有閑倶楽部』などで知られる女性漫画家は誰?	一条ゆかり
大分県にある景勝地「青の洞門」の逸話をもとにして書かれた、了海を主人公とする菊池寛の小説は何?	恩讐の彼方に
カウンター席のあるバーで、シェイカーなどを使ってカクテルを調合する人のこと何という?	バーテンダー
トニー・スターク扮する正義のヒーローの活躍を描いた、アメコミ作品を原作とする映画は何?	アイアンマン
北海道の中心に位置することから「北海道のへそ」を名乗る、ラベンダーで有名な都市はどこ?	富良野市
政府の機関紙である「官報」の題字を手がけた、創刊当時の太政大臣は誰?	三条実美
童謡『浦島太郎』で、竜宮城で舞い踊りを行う魚はタイと何?	ヒラメ
フランスで日本風の生活を行う人の事を、日本家屋に欠かせないある物を用いて何という?	タタミゼ
ドイツ在住時にはバウハウスで教官も務めていた、代表作『塔のある風景』で知られるロシア生まれの画家は誰?	ワシリー・カンディンスキー
人間のふくらはぎにある、魚の名称がついた筋肉は何?	ヒラメ筋
70歳のお祝い「古希」の由来となった「人生七十古来稀也」という詩を詠んだ唐の詩人は誰?	杜甫
医学者の高峰譲吉がアドレナリンの結晶の抽出に成功したのは、どんな動物の副腎から?	ウシ
「日本の歌100選」に選ばれたた唱歌、『あめふり』と『雨降りお月さん』の作曲者はいずれも誰?	中山晋平
後醍醐天皇の即位から、室町幕府2代将軍・足利義詮が死去し、細川頼之が管領に就任するまでの南北朝の動乱を描いた軍記物語は何?	太平記
日本語の品詞で「静かだ」「豊かな」など、主にものごとの状態を表すのは何?	形容動詞
泉鏡花文学賞を主催する、作家・泉鏡花の出身地である北陸地方の都市はどこ?	金沢市
2016年に国際自然保護連合から絶滅危惧種に指定された、「マサイ」「アミメ」などの種類がある動物は何?	キリン
発明者したロナルド・リベスト、アディ・シャミア、レオナルド・エーデルマンの頭文字からつけられた、現在インターネットで広く用いられる暗号アルゴリズムは何?	RSA暗号
爆発型、脈動、回転、激変、食、X線の6種類に分類される、夜空に輝く星のなかでも明るさが変化するものを何という?	変光星
体内にあるルシフェリンと言う物質によって光を発する、「ゲンジ」「ヘイケ」等の種類のある昆虫は何?	ホタル
アンモニアを構成する2つの元素は、窒素と何?	水素
「40歳過ぎたら自分の顔に責任をもて」という言葉をのこしたとされる、アメリカ第16代大統領は誰?	エイブラハム・リンカーン
江戸時代末期・公武合体運動によって皇女・和宮と結婚した、江戸幕府第14代将軍は誰?	徳川家茂
イギリス・スコットランドのクライド湾に浮かぶ無人島で、カーリングで用いるストーンの花崗岩の産地として知られるのはどこ?	アルサクレイグ島
アフガニスタンの国技「ブズカシ」には、「○○を引きずる」という意味があります。元々、騎馬隊がボールの代わりに奪いあっていた○○とは何?	ヤギ
志賀直哉の『城の崎にて』に代表される、作者自身が主人公となり、自身の体験を元に話が展開する形式を何という?	私小説
743年に発布された、土地を開墾した農民に対し、永久に私有することを認めた法律を何という?	墾田永年私財法
第二次大戦後に開催された夏のオリンピックで、日本が参加しなかった2つの大会の開催地は、1948年のロンドンと1980年のどこ?	モスクワ
ワシントン、ジェファーソン、マディソン、モンロー、ハリソン、タイラー、テーラー、ウィルソンと歴代最多の8人の大統領を輩出しているアメリカの州はどこ?	バージニア州
パック、オーベロン、ティタニアという妖精が登場する、シェイクスピアの戯曲は何?	夏の夜の夢
「散りぬべき 時知りてこそ 世の中の 花も花なれ 人も人なれ」という辞世の句を遺した、戦国武将・明智光秀の娘にあたる人物は誰?	細川ガラシャ
1958年からたびたびノーベル文学賞候補に挙がっていたことが判明している、詩集『第三の神話』『人類』で知られる詩人は誰?	西脇順三郎
数学のモンテカルロ法の命名者ともされるハンガリー生まれの数学者で、現在のコンピュータの原理を考案し「コンピュータの父」と呼ばれるのは誰?	ジョン・フォン・ノイマン
チョコレートで、レオニダス、ヴィタメール、ゴディバといえば、どこの国のブランド?	ベルギー
レモンが特産品であることから「レモン島」と呼ばれる、観光名所の「青の洞窟」で知られるイタリアの島は何?	カプリ島
お皿に温かいライスを敷き、その上に炒めたお肉と生野菜を盛り合わせ、マヨネーズをかけた佐賀市のご当地グルメは何?	シシリアンライス
アメリカの短編文学賞にその名がつけられている、代表作『賢者の贈りもの』『最後の一葉』で知られる作家は誰?	オー・ヘンリー
小説『砂の女』や『壁 - S・カルマ氏の犯罪』などの作品で知られる作家は誰?	安部公房
2012年にシングル『BRAVE IT OUT』でデビューした、関口メンディー、白濱亜嵐、片寄涼太らからなる7人組のダンス&ボーカルユニットは何?	GENERATIONS from EXILE TRIBE
小説『夜のピクニック』や『蜜蜂と遠雷』などを書いた作家は誰?	恩田陸
日本が「赤城」「加賀」「蒼龍」「飛龍」という4隻の空母を失った、1942年6月に起こった太平洋戦争の海戦は何?	ミッドウェー海戦
首都をビシュケクに置く中央アジアの国はどこ?	キルギス
これまでに日本人では、白川英樹、田中耕一、吉野彰などが受賞したノーベル賞の部門は何?	ノーベル化学賞
ワインの味わいの決め手となる、ぶどう畑がある土地の、気候や土壌などの性質のことを、フランス語で「土地」という意味の言葉に由来して何という?	テロワール
五線譜を用いず、数字やアルファベットを使って音符を書き表す方法を「タブ譜」といいますが、この「タブ」とは何という言葉の略?	タブラチュア
アメリカ大統領、ドナルド・トランプの前はバラク・オバマですが、さらにその前は誰?	ジョージ・W・ブッシュ
ショウビジネス界で活躍した人物の名前が彫られた2000以上の星型のプレートが埋め込んである、アメリカ・カリフォルニア州ハリウッドのハリウッド大通り沿いにある歩道を何という?	ハリウッド・ウォーク・オブ・フェーム
1564年に生まれ1616年に亡くなったとされ、生没年を覚える「ヒトゴロシイロイロ」という語呂合わせも有名な、イギリスの劇作家は誰?	ウィリアム・シェイクスピア
スポーツアパレルブランドの「カンタベリー・オブ・ニュージーランド」のロゴマークに3羽並ぶかたちでデザインされている、ニュージーランドの鳥は何?	キーウィ
英語で「見せかけ」という意味がある、スポーツなどで、相手を惑わしたり牽制するようなプレーを何という?	フェイント
日本語では「感染爆発」と訳される、感染症や伝染病が世界的に流行することを指す言葉は何?	パンデミック
